"dSST","dMOT, linear_fitted","linear_fitted","linear_residuals","cooks_distance","obs_num","Model"
"-3.8","-3.46","-3.98712468861182","0.527124688611824","0.00403641636337777","1","iCESM"
"-2.25","-1.26","-2.52072466362892","1.26072466362892","0.0160808951459426","2","IPSL-CM5A-LR"
"-2.15","-1.9","-2.42611821040422","0.526118210404215","0.00273406588204246","3","MRI-CGCM3"
"-2.07","-2.36","-2.35043304782445","-0.00956695217554711","8.86809221093673e-07","4","Galbraith CM2Mc.v2"
"-2.07","-1.57","-2.35043304782445","0.780433047824453","0.00590138974161715","5","GISS-E2-R"
"-2.02","-1.93","-2.3031298212121","0.373129821212101","0.00133281908876361","6","CCSM4"
"-1.79","-2.31","-2.08553497879528","-0.224465021204717","0.000456272273955432","7","Galbraith CM2Mc.v2"
"-1.78","-2.39","-2.07607433347281","-0.313925666527187","0.000890286301966559","8","Galbraith CM2Mc.v2"
"-1.62","-1.91","-1.92470400831329","0.0147040083132864","1.87898271815618e-06","9","MPI-ESM-P"
"-1.59","-1.77","-1.89632207234588","0.126322072345876","0.000137674352753625","10","MIROC-ESM"
"-1.58","-1.38","-1.88686142702341","0.506861427023406","0.00221116271401198","11","Galbraith CM2Mc.v2"
"-1.52","-2.31","-1.83009755508858","-0.479902444911416","0.00195359002795876","12","Galbraith CM2Mc.v2"
"-1.39","-1.19","-1.70710916589647","0.517109165896469","0.0021979101741377","13","GENMOM"
"-1.39","-1.39","-1.70710916589647","0.317109165896469","0.000826538444010625","14","Galbraith CM2Mc.v2"
"-1.38","-1.11","-1.697648520574","0.587648520573999","0.00283157787290452","15","GENMOM"
"-1.36","-1.01","-1.67872722992906","0.668727229929058","0.00364910950871097","16","Galbraith CM2Mc.v2"
"-1.25","-2.19","-1.57466013138188","-0.615339868618115","0.00300850632192196","17","Galbraith CM2Mc.v2"
"-1.19","-1.97","-1.51789625944706","-0.452103740552938","0.0016006376212958","18","Galbraith CM2Mc.v2"
"-1.18","-2.07","-1.50843561412459","-0.561564385875408","0.00246357498659747","19","Galbraith CM2Mc.v2"
"-0.99","-1.15","-1.32868335299766","0.178683352997655","0.000238242869021073","20","Galbraith CM2Mc.v2"
"-0.91","-0.57","-1.25299819041789","0.682998190417893","0.00341454962023585","21","GENMOM"
"-0.86","-0.92","-1.20569496380554","0.285694963805541","0.000590319032170705","22","Galbraith CM2Mc.v2"
"-0.78","-0.99","-1.13000980122578","0.140009801225778","0.000139084200858995","23","Galbraith CM2Mc.v2"
"-0.67","-1.52","-1.0259427026786","-0.494057297321395","0.00168702010006989","24","Galbraith CM2Mc.v2"
"-0.66","-0.87","-1.01648205735613","0.146482057356134","0.000147945403017399","25","Galbraith CM2Mc.v2"
"-0.58","-0.91","-0.940796894776371","0.0307968947763711","6.41655489893437e-06","26","CNRM-CM5"
"-0.49","-0.18","-0.855651086874138","0.675651086874138","0.00302345266753317","27","GENMOM"
"-0.45","-0.25","-0.817808505584257","0.567808505584257","0.00211532360321462","28","GENMOM"
