"dSST","dMOT, segmented_fitted","segmented_fitted","segmented_residuals","cooks_distance","obs_num","Model"
"-3.8","-3.46","-3.8786214701844","0.418621470184397","0.0116526757891974","1","iCESM"
"-2.25","-1.26","-2.31483036530576","1.05483036530576","0.0137112469952982","2","IPSL-CM5A-LR"
"-2.15","-1.9","-2.21394061660391","0.31394061660391","0.00108280839891625","3","MRI-CGCM3"
"-2.07","-2.36","-2.13322881764243","-0.226771182357568","0.000515452313271768","4","Galbraith CM2Mc.v2"
"-2.07","-1.57","-2.13322881764243","0.563228817642432","0.00317967329195766","5","GISS-E2-R"
"-2.02","-1.93","-2.08278394329151","0.152783943291509","0.000220984657782412","6","CCSM4"
"-1.79","-2.31","-1.85073752127726","-0.459262478722741","0.00154512543405459","7","Galbraith CM2Mc.v2"
"-1.78","-2.39","-1.84064854640707","-0.549351453592926","0.00218712213114019","8","Galbraith CM2Mc.v2"
"-1.62","-1.91","-1.67922494848412","-0.230775051515882","0.000327540413560515","9","MPI-ESM-P"
"-1.59","-1.77","-1.64895802387356","-0.121041976126437","8.75595468939289e-05","10","MIROC-ESM"
"-1.58","-1.38","-1.63886904900338","0.258869049003379","0.000396751484768308","11","Galbraith CM2Mc.v2"
"-1.52","-2.31","-1.57833519978227","-0.73166480021773","0.0030023081115317","12","Galbraith CM2Mc.v2"
"-1.39","-1.19","-1.44717852646987","0.257178526469868","0.000334768741993081","13","GENMOM"
"-1.39","-1.39","-1.44717852646987","0.0571785264698679","1.65478437377843e-05","14","Galbraith CM2Mc.v2"
"-1.38","-1.11","-1.43708955159968","0.327089551599683","0.00053778293040194","15","GENMOM"
"-1.36","-1.01","-1.41691160185931","0.406911601859314","0.000821246873975317","16","Galbraith CM2Mc.v2"
"-1.25","-2.19","-1.30593287828728","-0.884067121712719","0.0036459959449478","17","Galbraith CM2Mc.v2"
"-1.19","-1.97","-1.24539902906617","-0.724600970933827","0.00239141009920691","18","Galbraith CM2Mc.v2"
"-1.18","-2.07","-1.23531005419599","-0.834689945804012","0.00316286097160812","19","Galbraith CM2Mc.v2"
"-0.99","-1.15","-1.04361953166248","-0.106380468337522","5.02634721770303e-05","20","Galbraith CM2Mc.v2"
"-0.91","-0.57","-0.962907732700999","0.392907732700999","0.000695519921012825","21","GENMOM"
"-0.86","-0.92","-0.912462858350076","-0.00753714164992447","2.60014568663176e-07","22","Galbraith CM2Mc.v2"
"-0.78","-0.99","-0.831751059388598","-0.158248940611402","0.000118776247292527","23","Galbraith CM2Mc.v2"
"-0.67","-1.52","-0.720772335816565","-0.799227664183435","0.00324191638278618","24","Galbraith CM2Mc.v2"
"-0.66","-0.87","-0.71068336094638","-0.15931663905362","0.000129740731471213","25","Galbraith CM2Mc.v2"
"-0.58","-0.91","-0.629971561984902","-0.280028438015098","0.000426487478228659","26","CNRM-CM5"
"-0.49","-0.18","-0.539170788153239","0.359170788153239","0.000759436432964742","27","GENMOM"
"-0.45","-0.25","-0.4988148886725","0.2488148886725","0.000378507850220855","28","GENMOM"
"-0.29","-0.14","-0.337391290749544","0.197391290749544","0.000280533692109071","29","Galbraith CM2Mc.v2"
"-0.21","-0.05","-0.256679491788066","0.206679491788066","0.000335505275870868","30","GENMOM"
"-0.2","-0.1","-0.246590516917881","0.146590516917881","0.000170652484109581","31","GENMOM"
"0","0","-0.044811019514186","0.044811019514186","1.99868877437036e-05","32","Uvic 2.9"
"0.53","0.59","0.489904648605607","0.100095351394393","0.000182364451000289","33","Uvic 2.9"
"0.77","0.69","0.732040045490042","-0.042040045490042","4.19392120178407e-05","34","Galbraith"
"0.94","1.51","0.903552618283183","0.606447381716817","0.0104946427005619","35","Galbraith"
"1.08","1.31","1.04479826646577","0.265201733534231","0.00233201556827495","36","Galbraith"
"1.23","1.29","1.17767570685316","0.112324293146837","0.000283515651795216","37","PLIOMIP2 14"
"1.27","1.8","1.2006953546781","0.599304645321897","0.00772376449560386","38","Galbraith"
"1.47","0.75","1.3157935938028","-0.565793593802797","0.00551966047186113","39","PLIOMIP2 9"
"1.5","1.45","1.3330583296715","0.116941670328498","0.000228085365846933","40","PLIOMIP2 1"
"1.53","0.86","1.35032306554021","-0.490323065540206","0.00387865436836137","41","PLIOMIP2 8"
"1.75","1.44","1.47693112857737","-0.0369311285773706","1.72526163910063e-05","42","PLIOMIP2 5"
"1.75","2.22","1.47693112857737","0.74306887142263","0.00698438134338623","43","PLIOMIP2 13"
"1.98","1.53","1.60929410357077","-0.0792941035707699","6.20553616972705e-05","44","Uvic 2.9"
"2.03","1.65","1.63806866335194","0.0119313366480562","1.33374149409042e-06","45","PLIOMIP2 12"
"2.06","1.42","1.65533339922065","-0.235333399220647","0.000503163088262786","46","PLIOMIP2 11"
"2.42","2.17","1.8625102296451","0.307489770354902","0.000622741108954374","47","PLIOMIP2 10"
"2.45","2.19","1.8797749655138","0.310225034486196","0.000620648528503147","48","giss surface average (4.5-5 ka)"
"2.52","2.6","1.92005934920745","0.679940650792553","0.0028518431568101","49","PLIOMIP2 3"
"2.89","2.24","2.13299109158813","0.107008908411868","6.3998146688856e-05","50","PLIOMIP2 6"
"3.09","2.35","2.24808933071283","0.101910669287173","6.12384143022221e-05","51","HadCM_highres"
"3.12","0.52","2.26535406658153","-1.74535406658153","0.0182178080350266","52","COSMOS"
"3.28","1.88","2.35743265788129","-0.477432657881288","0.00150430885309752","53","HadCM_lowres"
"3.33","2.65","2.38620721766246","0.263792782337539","0.000476903032373707","54","Uvic 2.9"
"3.33","2.92","2.38620721766246","0.533792782337539","0.0019527635548435","55","cesm surface average (5.4-5.9 ka)"
"3.37","0.51","2.4092268654874","-1.8992268654874","0.0255296957741121","56","MIROC"
"3.45","1.8","2.45526616113728","-0.655266161137279","0.00325646990687437","57","PLIOMIP2 2"
"3.46","2.51","2.46102107309351","0.0489789269064871","1.83592228825987e-05","58","mpilr surface average (3.9-4.4 ka)"
"3.5","3.61","2.48404072091845","1.12595927908155","0.0100673944677076","59","PLIOMIP2 4"
"3.77","1.4","2.63942334373679","-1.23942334373679","0.0160320688484943","60","PLIOMIP2 15"
"3.91","2.51","2.71999211112408","-0.209992111124077","0.000535474243789741","61","GFDL"
"3.98","2.78","2.76027649481772","0.0197235051822804","5.10145523583779e-06","62","PLIOMIP2 7"
"4.31","4.96","2.95018858937347","2.00981141062653","0.0763282106074842","63","CESM"
"4.57","4.35","3.09981630023557","1.25018369976443","0.0393070555560815","64","Uvic 2.9"
"5.29","2.32","3.51416996108447","-1.19416996108447","0.0781616094867362","65","Galbraith CM2Mc.v2"
"5.46","2.49","3.72563271079417","-1.23563271079417","0.0189519547625988","66","Galbraith CM2Mc.v2"
"5.51","2.54","3.78782775478173","-1.24782775478173","0.0189592806805532","67","Galbraith CM2Mc.v2"
"5.63","6.07","3.93709586035189","2.13290413964811","0.0529032419740085","68","Uvic 2.9"
"5.66","2.69","3.97441288674443","-1.28441288674443","0.0189661781799552","69","Galbraith CM2Mc.v2"
"5.66","4.33","3.97441288674443","0.355587113255568","0.00145365901041058","70","echam surface average (5.5-6.1 ka)"
"5.92","3.36","4.29782711547978","-0.937827115479776","0.00916764302271155","71","IPSL"
"6.15","5.58","4.58392431782258","0.996075682177418","0.009504571182236","72","HadCM_highres"
"6.15","8.12","4.58392431782258","3.53607568217742","0.119781833270656","73","NorESM"
"6.51","3.54","5.03172863453306","-1.49172863453306","0.0187945179100875","74","Galbraith CM2Mc.v2"
"6.56","3.59","5.09392367852063","-1.50392367852063","0.0187861619743329","75","Galbraith CM2Mc.v2"
"6.62","6.17","5.16855773130571","1.00144226869429","0.0081666890753811","76","HadCM_lowres"
"6.67","3.92","5.23075277529327","-1.31075277529327","0.013765315306731","77","MIROC"
"6.8","3.83","5.39245988966095","-1.56245988966095","0.0187733839262894","78","Galbraith CM2Mc.v2"
"6.84","3.87","5.442215924851","-1.572215924851","0.0187769348783288","79","Galbraith CM2Mc.v2"
"6.93","6.33","5.55416700402862","0.775832995971382","0.00445093858598489","80","GFDL"
"8.28","9.92","7.23343319169291","2.68656680830709","0.0419336122800377","81","NorESM"
"8.95","9.33","8.0668467811263","1.2631532188737","0.00954227333016604","82","GFDL"
"9.25","9.44","8.4400170450517","0.999982954948297","0.00626127179671816","83","HadCM_highres"
"9.27","6.63","8.46489506264673","-1.83489506264673","0.0211598727361467","84","MIROC"
"9.72","7.91","9.02465045853482","-1.11465045853482","0.00865170062695871","85","COSMOS"
"9.75","10.11","9.06196748492737","1.04803251507263","0.00770988890598844","86","CESM"
"10.5","10.49","9.99489314474086","0.49510685525914","0.00217576207358943","87","HadCM_lowres"
"10.62","8.65","10.144161250311","-1.49416125031102","0.0206703417770472","88","IPSL"
"10.71","11.52","10.2561123294886","1.26388767051136","0.0152749753971926","89","GFDL"
"11.04","9.81","10.6665996198066","-0.856599619806577","0.00792504478955396","90","COSMOS"
"13.03","14.58","13.1419623705117","1.43803762948828","0.0484229012347397","91","GFDL"
"13.58","16.05","13.826107854375","2.22389214562505","0.143338511300619","92","CESM"
"18.34","17.4","19.7470760419913","-2.34707604199128","1.08641362032376","93","CESM"
